,,2010-01-04 00:00:00
Adj Close,AGM^D,
Adj Close,AGM^E,
Adj Close,AGM^F,
Adj Close,AGM^G,
Adj Close,AGNC,5.452157974243164
Adj Close,AGNCL,
Adj Close,AGNCM,
Adj Close,AGNCN,
Adj Close,AGNCO,
Adj Close,AGNCP,
Adj Close,AGO,18.208290100097656
Adj Close,AGR,
Adj Close,AGRI,
Adj Close,AGRIW,
Adj Close,AGRO,
Adj Close,AGRX,
Adj Close,AGS,
Adj Close,AGTI,
Adj Close,AGX,10.600212097167969
Adj Close,AGYS,9.729999542236328
Adj Close,AHCO,
Adj Close,AHG,
Adj Close,AHH,
Adj Close,AHH^A,
Adj Close,AHI,
Adj Close,AHL^C,
Adj Close,AHL^D,
Adj Close,AHL^E,
Adj Close,AHPI,10.0
Adj Close,AHRN,
Adj Close,AHT,171.11827087402344
Adj Close,AHT^D,
Adj Close,AHT^F,
Adj Close,AHT^G,
Adj Close,AHT^H,
Adj Close,AHT^I,
Adj Close,AI,
Adj Close,AIB,
Adj Close,AIC,
Adj Close,AIF,
Adj Close,AIG,20.54520034790039
Adj Close,AIG^A,
Adj Close,AIH,
Adj Close,AIHS,
Adj Close,AIM,316.79998779296875
Adj Close,AIMAU,
Adj Close,AIMAW,
Adj Close,AIMC,10.925420761108398
Adj Close,AIMD,
Adj Close,AIMDW,
Adj Close,AIN,18.76373291015625
Adj Close,AINC,
Adj Close,AIO,
Adj Close,AIP,
Adj Close,AIR,21.40157127380371
Adj Close,AIRC,
Adj Close,AIRG,
Adj Close,AIRI,39.339664459228516
Adj Close,AIRS,
Adj Close,AIRT,5.638029098510742
Adj Close,AIRTP,
Adj Close,AIT,17.374656677246094
Adj Close,AIU,
Adj Close,AIV,-0.1652000993490219
Adj Close,AIZ,23.535802841186523
Adj Close,AIZN,
Adj Close,AJG,15.424960136413574
Adj Close,AJRD,6.533030033111572
Adj Close,AJX,
Adj Close,AJXA,
Adj Close,AKA,
Adj Close,AKAM,25.920000076293945
Adj Close,AKAN,
Adj Close,AKBA,
Adj Close,AKLI,
Adj Close,AKO/A,
Adj Close,AKO/B,
Adj Close,AKR,11.166157722473145
Adj Close,AKRO,
Adj Close,AKTS,
Adj Close,AKTX,
Adj Close,AKU,
Adj Close,AKYA,
Adj Close,AL,
Adj Close,ALB,31.822772979736328
Adj Close,ALBO,528.0
Adj Close,ALBT,
Adj Close,ALC,
Adj Close,ALCC,
Adj Close,ALCO,25.849149703979492
Adj Close,ALDX,
Adj Close,ALE,20.520767211914062
Adj Close,ALEC,
Adj Close,ALEX,
Adj Close,ALG,16.571096420288086
Adj Close,ALGM,
Adj Close,ALGN,18.5
Adj Close,ALGS,
Adj Close,ALGT,40.23316192626953
Adj Close,ALHC,
Adj Close,ALIM,
Adj Close,ALIT,
Adj Close,ALK,7.839310646057129
Adj Close,ALKS,9.710000038146973
Adj Close,ALKT,
Adj Close,ALL,23.19877815246582
Adj Close,ALLE,
Adj Close,ALLG,
Adj Close,ALLK,
Adj Close,ALLO,
Adj Close,ALLR,
Adj Close,ALLT,4.110000133514404
Adj Close,ALLY,
Adj Close,ALL^B,
Adj Close,ALL^G,
Adj Close,ALL^H,
Adj Close,ALL^I,
Adj Close,ALNY,18.139999389648438
Adj Close,ALOR,
Adj Close,ALORW,
Adj Close,ALOT,5.4692301750183105
Adj Close,ALPA,
Adj Close,ALPAU,
Adj Close,ALPAW,
Adj Close,ALPN,
Adj Close,ALPP,
Adj Close,ALPS,
Adj Close,ALR,37.0
Adj Close,ALRM,
Adj Close,ALRN,
Adj Close,ALRS,5.425374507904053
Adj Close,ALSA,
Adj Close,ALSAW,
Adj Close,ALSN,
Adj Close,ALT,
Adj Close,ALTG,
Adj Close,ALTG^A,
Adj Close,ALTI,
Adj Close,ALTIW,
Adj Close,ALTO,81.9000015258789
Adj Close,ALTR,
Adj Close,ALTU,
Adj Close,ALTUW,
Adj Close,ALV,23.714452743530273
Adj Close,ALVO,
Adj Close,ALVOW,
Adj Close,ALVR,
Adj Close,ALX,130.84292602539062
Adj Close,ALXO,
Adj Close,ALYA,2.208153247833252
Adj Close,ALZN,
Adj Close,AL^A,
Adj Close,AM,
Adj Close,AMAL,
Adj Close,AMAM,
Adj Close,AMAO,
Adj Close,AMAOW,
Adj Close,AMAT,11.440813064575195
Adj Close,AMBA,
Adj Close,AMBC,
Adj Close,AMBO,
Adj Close,AMBP,
Adj Close,AMC,
Adj Close,AMCI,
Adj Close,AMCIU,
Adj Close,AMCIW,
Adj Close,AMCR,
Adj Close,AMCX,
Adj Close,AMD,9.699999809265137
Adj Close,AME,15.882857322692871
Adj Close,AMED,50.54999923706055
Adj Close,AMEH,0.699999988079071
Adj Close,AMG,66.74730682373047
Adj Close,AMGN,45.35609436035156
Adj Close,AMH,
Adj Close,AMH^G,
Adj Close,AMH^H,
Adj Close,AMK,
Adj Close,AMKR,7.334731578826904
Adj Close,AMLX,
