,,2020-01-02 00:00:00
Adj Close,AGCO,74.9288330078125
Adj Close,AGD,8.833124160766602
Adj Close,AGE,1.9500000476837158
Adj Close,AGEN,4.039999961853027
Adj Close,AGFS,2.75
Adj Close,AGFY,
Adj Close,AGGR,
Adj Close,AGGRW,
Adj Close,AGI,5.799814701080322
Adj Close,AGIL,
Adj Close,AGILW,
Adj Close,AGIO,47.52000045776367
Adj Close,AGL,
Adj Close,AGLE,7.75
Adj Close,AGM,76.74748992919922
Adj Close,AGMH,16.139999389648438
Adj Close,AGM^C,
Adj Close,AGM^D,
Adj Close,AGM^E,
Adj Close,AGM^F,
Adj Close,AGM^G,
Adj Close,AGNC,15.197908401489258
Adj Close,AGNCL,
Adj Close,AGNCM,23.173368453979492
Adj Close,AGNCN,23.379112243652344
Adj Close,AGNCO,23.202978134155273
Adj Close,AGNCP,
Adj Close,AGO,46.871395111083984
Adj Close,AGR,46.82879638671875
Adj Close,AGRI,
Adj Close,AGRIW,
Adj Close,AGRO,8.130000114440918
Adj Close,AGRX,118.80000305175781
Adj Close,AGS,12.119999885559082
Adj Close,AGTI,
Adj Close,AGX,36.252220153808594
Adj Close,AGYS,25.809999465942383
Adj Close,AHCO,10.989999771118164
Adj Close,AHG,2.6549999713897705
Adj Close,AHH,16.349651336669922
Adj Close,AHH^A,
Adj Close,AHI,
Adj Close,AHL^C,
Adj Close,AHL^D,
Adj Close,AHL^E,
Adj Close,AHPI,1.2599999904632568
Adj Close,AHRN,
Adj Close,AHT,268.0
Adj Close,AHT^D,
Adj Close,AHT^F,
Adj Close,AHT^G,
Adj Close,AHT^H,
Adj Close,AHT^I,
Adj Close,AI,
Adj Close,AIB,
Adj Close,AIC,21.701967239379883
Adj Close,AIF,12.943073272705078
Adj Close,AIG,48.429927825927734
Adj Close,AIG^A,
Adj Close,AIH,6.489999771118164
Adj Close,AIHS,7.050000190734863
Adj Close,AIM,0.6100000143051147
Adj Close,AIMAU,
Adj Close,AIMAW,
Adj Close,AIMC,35.82985305786133
Adj Close,AIMD,
Adj Close,AIMDW,
Adj Close,AIN,74.9650650024414
Adj Close,AINC,23.799999237060547
Adj Close,AIO,14.749594688415527
Adj Close,AIP,
Adj Close,AIR,45.578006744384766
Adj Close,AIRC,
Adj Close,AIRG,10.6899995803833
Adj Close,AIRI,23.5
Adj Close,AIRS,
Adj Close,AIRT,20.149999618530273
Adj Close,AIRTP,20.7069149017334
Adj Close,AIT,64.10638427734375
Adj Close,AIU,167.75
Adj Close,AIV,-3.994851589202881
Adj Close,AIZ,126.84986877441406
Adj Close,AIZN,
Adj Close,AJG,92.34941101074219
Adj Close,AJRD,42.23491287231445
Adj Close,AJX,12.576148986816406
Adj Close,AJXA,23.685577392578125
Adj Close,AKA,
Adj Close,AKAM,87.63999938964844
Adj Close,AKAN,
Adj Close,AKBA,6.340000152587891
Adj Close,AKLI,
Adj Close,AKO/A,
Adj Close,AKO/B,
Adj Close,AKR,24.066341400146484
Adj Close,AKRO,20.079999923706055
Adj Close,AKTS,8.149999618530273
Adj Close,AKTX,1.7400000095367432
Adj Close,AKU,
Adj Close,AKYA,
Adj Close,AL,45.37140655517578
Adj Close,ALB,70.82723236083984
Adj Close,ALBO,24.6299991607666
Adj Close,ALBT,20.0
Adj Close,ALC,56.2213020324707
Adj Close,ALCC,
Adj Close,ALCO,34.74321365356445
Adj Close,ALDX,5.960000038146973
Adj Close,ALE,73.65702819824219
Adj Close,ALEC,16.575000762939453
Adj Close,ALEX,19.522445678710938
Adj Close,ALG,124.50453186035156
Adj Close,ALGM,
Adj Close,ALGN,283.67999267578125
Adj Close,ALGS,
Adj Close,ALGT,175.10899353027344
Adj Close,ALHC,
Adj Close,ALIM,8.15999984741211
Adj Close,ALIT,
Adj Close,ALK,67.78558349609375
Adj Close,ALKS,19.760000228881836
Adj Close,ALKT,
Adj Close,ALL,106.8076171875
Adj Close,ALLE,122.52297973632812
Adj Close,ALLG,
Adj Close,ALLK,93.29000091552734
Adj Close,ALLO,26.219999313354492
Adj Close,ALLR,
Adj Close,ALLT,9.0600004196167
Adj Close,ALLY,28.993450164794922
Adj Close,ALL^B,
Adj Close,ALL^G,
Adj Close,ALL^H,
Adj Close,ALL^I,
Adj Close,ALNY,115.62000274658203
Adj Close,ALOR,
Adj Close,ALORW,
Adj Close,ALOT,13.575130462646484
Adj Close,ALPA,
Adj Close,ALPAU,
Adj Close,ALPAW,
Adj Close,ALPN,3.622999906539917
Adj Close,ALPP,0.1850000023841858
Adj Close,ALPS,
Adj Close,ALR,3.890000104904175
Adj Close,ALRM,42.9900016784668
Adj Close,ALRN,11.899999618530273
Adj Close,ALRS,21.654333114624023
Adj Close,ALSA,
Adj Close,ALSAW,
Adj Close,ALSN,47.083702087402344
Adj Close,ALT,1.9210000038146973
Adj Close,ALTG,10.010000228881836
Adj Close,ALTG^A,
Adj Close,ALTI,
Adj Close,ALTIW,
Adj Close,ALTO,0.8100000023841858
Adj Close,ALTR,36.86000061035156
Adj Close,ALTU,
Adj Close,ALTUW,
Adj Close,ALV,82.51590728759766
Adj Close,ALVO,
Adj Close,ALVOW,
Adj Close,ALVR,
Adj Close,ALX,282.9263000488281
Adj Close,ALXO,
Adj Close,ALYA,2.859999895095825
Adj Close,ALZN,
Adj Close,AL^A,
Adj Close,AM,4.962510108947754
Adj Close,AMAL,18.3259334564209
Adj Close,AMAM,
Adj Close,AMAO,
Adj Close,AMAOW,
Adj Close,AMAT,61.148902893066406
Adj Close,AMBA,62.7599983215332
Adj Close,AMBC,21.760000228881836
Adj Close,AMBO,2.5399999618530273
Adj Close,AMBP,
Adj Close,AMC,7.4145121574401855
Adj Close,AMCI,
Adj Close,AMCIU,
Adj Close,AMCIW,
Adj Close,AMCR,9.681846618652344
Adj Close,AMCX,39.150001525878906
Adj Close,AMD,49.099998474121094
Adj Close,AME,99.42333221435547
Adj Close,AMED,166.1199951171875
Adj Close,AMEH,18.219999313354492
Adj Close,AMG,83.60428619384766
Adj Close,AMGN,230.29827880859375
Adj Close,AMH,25.444686889648438
Adj Close,AMH^G,
Adj Close,AMH^H,
Adj Close,AMK,29.90999984741211
Adj Close,AMKR,13.17866325378418
Adj Close,AMLX,
Adj Close,AMN,62.11000061035156
Adj Close,AMNB,37.23363494873047
Adj Close,AMOT,31.464109420776367
Adj Close,AMOV,15.284218788146973
Adj Close,AMP,161.3941650390625
Adj Close,AMPE,8.850000381469727
Adj Close,AMPG,
Adj Close,AMPH,19.350000381469727
Adj Close,AMPL,
Adj Close,AMPS,
Adj Close,AMPX,
Adj Close,AMPY,5.833683967590332
Adj Close,AMR,
Adj Close,AMRC,17.520000457763672
Adj Close,AMRK,3.3651304244995117
Adj Close,AMRN,21.530000686645508
Adj Close,AMRS,3.069999933242798
Adj Close,AMRX,4.769999980926514
Adj Close,AMS,2.549999952316284
Adj Close,AMSC,7.889999866485596
Adj Close,AMSF,60.78998565673828
Adj Close,AMST,
Adj Close,AMSWA,14.535449028015137
Adj Close,AMT,219.9094696044922
Adj Close,AMTB,21.600000381469727
Adj Close,AMTD,17.5
Adj Close,AMTI,
Adj Close,AMTX,0.9010000228881836
Adj Close,AMV,
Adj Close,AMWD,104.6500015258789
Adj Close,AMWL,
Adj Close,AMX,15.461228370666504
Adj Close,AMYT,
Adj Close,AMZN,94.90049743652344
Adj Close,AN,48.91999816894531
Adj Close,ANAB,15.890000343322754
Adj Close,ANAC,
Adj Close,ANDE,23.759016036987305
Adj Close,ANEB,
Adj Close,ANET,51.18000030517578
Adj Close,ANF,17.227214813232422
Adj Close,ANGH,
Adj Close,ANGHW,
Adj Close,ANGI,8.869999885559082
Adj Close,ANGN,
Adj Close,ANGO,16.020000457763672
Adj Close,ANIK,52.400001525878906
Adj Close,ANIP,60.06999969482422
Adj Close,ANIX,3.0
Adj Close,ANNX,
Adj Close,ANPC,
Adj Close,ANSS,259.5899963378906
Adj Close,ANTE,4.039999961853027
Adj Close,ANTX,
Adj Close,ANVS,
Adj Close,ANY,0.8149999976158142
Adj Close,ANZU,
Adj Close,ANZUU,
Adj Close,ANZUW,
Adj Close,AOD,7.567939758300781
Adj Close,AOGO,
Adj Close,AOMR,
Adj Close,AON,204.86978149414062
Adj Close,AORT,27.229999542236328
Adj Close,AOS,45.842132568359375
Adj Close,AOSL,13.680000305175781
Adj Close,AOUT,
Adj Close,AP,3.069999933242798
Adj Close,APA,24.720142364501953
Adj Close,APAC,
